Date,Close,High,Low,Open,Volume,SMA_20,EMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATR_14,Target_Next_Day
2023-10-19,6450.0,6475.0,6325.0,6375.0,52067200,6145.0,6366.498637938817,64.97851770895473,380.43530691398973,-68.51776173651484,448.9530686505046,292.6695943317359,1.0
2023-10-20,6575.0,6600.0,6425.0,6450.0,49020700,6210.0,6408.198910351054,67.24648862012012,372.90166645001227,-60.84112176039383,433.7427882104061,284.2646233080405,0.0
2023-10-23,6575.0,6625.0,6450.0,6575.0,44638600,6266.25,6441.559128280844,67.2464886201201,362.749649944617,-56.79451061263131,419.5441605572483,276.46000735746617,0.0
2023-10-24,6425.0,6600.0,6400.0,6575.0,42092900,6303.75,6438.247302624675,61.68685469933233,338.6960797487127,-64.6784646468285,403.3745443955412,270.9985782605043,1.0
2023-10-25,6500.0,6550.0,6425.0,6450.0,36480300,6345.0,6450.597842099741,63.31976878890251,321.97381159239194,-65.12058624251944,387.0943978349114,260.570108384754,1.0
2023-10-26,6550.0,6675.0,6500.0,6500.0,38386000,6390.0,6470.478273679793,64.40882739361743,309.1917062096063,-62.32215330024411,371.5138595098504,254.457957785843,1.0
2023-10-27,6675.0,6700.0,6525.0,6550.0,49725600,6427.5,6511.382618943835,67.04326579142813,305.62519394435094,-52.71093245239962,358.33612639675056,248.7823893725685,1.0
2023-10-30,6750.0,6800.0,6650.0,6675.0,34993600,6460.0,6559.106095155068,68.54757072290109,305.3309157428621,-42.4041685231108,347.7350842659729,241.72650441738506,0.0
2023-10-31,6500.0,6750.0,6450.0,6750.0,68381100,6470.0,6547.284876124055,58.89708945686589,281.67778136001016,-52.84584232477016,334.5236236847803,245.88889695900042,1.0
2023-11-01,6650.0,6650.0,6250.0,6500.0,56756900,6495.0,6567.827900899244,62.32439680173715,271.90193212717804,-50.097353246081866,321.9992853732599,256.8968328905004,1.0
2023-11-02,6900.0,6925.0,6600.0,6650.0,68254900,6525.0,6634.262320719396,67.22899730651625,281.0872134162455,-32.72965756561155,313.81687098185705,261.7613448268932,0.0
2023-11-03,6700.0,7000.0,6600.0,7000.0,40356800,6546.25,6647.409856575517,60.44931310435897,269.12596982886134,-35.75272092239658,304.8786907512579,271.63553448211513,1.0
2023-11-06,6825.0,6850.0,6675.0,6675.0,33405300,6566.25,6682.927885260414,62.96322847896396,266.65917249026916,-30.575614608791057,297.2347870990602,264.7329963048212,1.0
2023-11-07,6850.0,6950.0,6800.0,6800.0,39376500,6583.75,6716.342308208332,63.463423260720006,263.68194753849093,-26.842271648455437,290.52421918694637,256.5377822830483,0.0
2023-11-08,6775.0,6900.0,6725.0,6850.0,45012600,6587.5,6728.073846566665,60.81011448518341,252.3615354248359,-30.530147009688392,282.8916824345243,250.71365497711625,0.0
2023-11-09,6650.0,6775.0,6550.0,6775.0,39332200,6586.25,6712.459077253333,56.565398990135876,230.64484176969563,-41.79747253186292,272.44231430155855,248.87696533589366,1.0
2023-11-10,6825.0,6875.0,6600.0,6650.0,46087800,6597.5,6734.967261802667,60.701244279397706,224.96202090860606,-37.984234714362,262.94625562296807,250.74289638332982,1.0
2023-11-13,7100.0,7125.0,6800.0,6850.0,63141200,6645.0,6807.973809442134,66.15507152638659,239.88332056548825,-18.4503480459839,258.33366861147215,256.04697521309197,1.0
2023-11-14,7150.0,7275.0,6950.0,7100.0,63771100,6690.0,6876.379047553707,67.05042473029737,252.82868843836877,-4.403984138482713,257.2326725768515,260.9721912692997,1.0
2023-11-15,7225.0,7325.0,7150.0,7250.0,79002900,6732.5,6946.103238042966,68.40079506693904,266.0727380431799,7.072052373062718,259.0006856701172,254.83132046434972,0.0
2023-11-16,7225.0,7300.0,7150.0,7225.0,47471100,6771.25,7001.882590434373,68.40079506693903,273.41696222879364,11.533021246941132,261.8839409818525,247.34336900261047,1.0
2023-11-17,7575.0,7650.0,7200.0,7225.0,130525600,6821.25,7116.506072347499,74.13736169789794,303.9753491294441,33.673126518073275,270.30222261137084,261.81884264528117,0.0
